file_path,access_count,recency_seconds,age_seconds
/tier_data/hot_file_1.txt,32,1844.04,12044.04
/tier_data/hot_file_2.txt,45,1964.04,5324.04
/tier_data/hot_file_3.txt,38,164.04,9464.04
/tier_data/hot_file_4.txt,43,2744.04,7904.04
/tier_data/hot_file_5.txt,42,1844.04,3764.04
/tier_data/hot_file_6.txt,46,2144.04,8324.04
/tier_data/hot_file_7.txt,36,1424.04,6284.04
/tier_data/hot_file_8.txt,53,1304.04,15404.04
/tier_data/hot_file_9.txt,44,1244.04,14204.04
/tier_data/hot_file_10.txt,51,2864.04,14924.04
/tier_data/hot_file_11.txt,45,404.04,10364.04
/tier_data/hot_file_12.txt,45,1964.04,10844.04
/tier_data/hot_file_13.txt,44,1484.04,15884.04
/tier_data/hot_file_14.txt,32,764.04,4304.04
/tier_data/hot_file_15.txt,53,1304.04,9344.04
/tier_data/hot_file_16.txt,34,104.04,15104.04
/tier_data/hot_file_17.txt,47,464.04,12644.04
/tier_data/hot_file_18.txt,56,2024.04,5684.04
/tier_data/hot_file_19.txt,50,1544.04,7964.04
/tier_data/hot_file_20.txt,49,1904.04,7004.04
/tier_data/hot_file_21.txt,42,104.04,15524.04
/tier_data/hot_file_22.txt,48,1964.04,16364.04
/tier_data/hot_file_23.txt,38,1064.04,5264.04
/tier_data/hot_file_24.txt,52,2204.04,6464.04
/tier_data/hot_file_25.txt,56,164.04,5744.04
/tier_data/hot_file_26.txt,46,884.04,4304.04
/tier_data/hot_file_27.txt,50,224.04,4244.04
/tier_data/hot_file_28.txt,36,2804.04,16724.04
/tier_data/hot_file_29.txt,56,1184.04,9404.04
/tier_data/hot_file_30.txt,38,1484.04,6464.04
/tier_data/hot_file_31.txt,37,2024.04,12164.04
/tier_data/hot_file_32.txt,53,104.04,10004.04
/tier_data/hot_file_33.txt,43,644.04,11564.04
/tier_data/hot_file_34.txt,43,1544.04,14744.04
/tier_data/hot_file_35.txt,40,1604.04,5924.04
/tier_data/hot_file_36.txt,44,1784.04,10184.04
/tier_data/hot_file_37.txt,46,2864.04,11144.04
/tier_data/hot_file_38.txt,47,704.04,9164.04
/tier_data/hot_file_39.txt,46,2504.04,4304.04
/tier_data/hot_file_40.txt,41,2624.04,15164.04
/tier_data/hot_file_41.txt,44,1724.04,7544.04
/tier_data/hot_file_42.txt,43,1604.04,11984.04
/tier_data/hot_file_43.txt,46,2924.04,5684.04
/tier_data/hot_file_44.txt,46,1484.04,13304.04
/tier_data/hot_file_45.txt,46,164.04,10484.04
/tier_data/hot_file_46.txt,51,1004.04,10844.04
/tier_data/hot_file_47.txt,54,404.04,5324.04
/tier_data/hot_file_48.txt,51,284.04,15584.04
/tier_data/hot_file_49.txt,48,3044.04,6584.04
/tier_data/hot_file_50.txt,35,1124.04,12824.04
/tier_data/hot_file_51.txt,47,2924.04,5624.04
/tier_data/hot_file_52.txt,55,1964.04,18044.04
/tier_data/hot_file_53.txt,46,1244.04,14264.04
/tier_data/hot_file_54.txt,45,824.04,15104.04
/tier_data/hot_file_55.txt,44,2564.04,17744.04
/tier_data/hot_file_56.txt,51,2444.04,16364.04
/tier_data/hot_file_57.txt,49,1244.04,10784.04
/tier_data/hot_file_58.txt,44,164.04,12944.04
/tier_data/hot_file_59.txt,46,824.04,7904.04
/tier_data/hot_file_60.txt,50,3044.04,11804.04
/tier_data/hot_file_61.txt,46,524.04,10364.04
/tier_data/hot_file_62.txt,38,2804.04,13064.04
/tier_data/hot_file_63.txt,47,2384.04,5804.04
/tier_data/hot_file_64.txt,48,824.04,7364.04
/tier_data/hot_file_65.txt,42,2924.04,10184.04
/tier_data/hot_file_66.txt,55,1604.04,14264.04
/tier_data/hot_file_67.txt,45,524.04,13964.04
/tier_data/hot_file_68.txt,41,1904.04,17204.04
/tier_data/hot_file_69.txt,41,2984.04,7844.04
/tier_data/hot_file_70.txt,50,2384.04,8264.04
/tier_data/hot_file_71.txt,45,1904.04,13364.04
/tier_data/hot_file_72.txt,45,344.04,9644.04
/tier_data/hot_file_73.txt,43,1184.04,13784.04
/tier_data/hot_file_74.txt,50,1244.04,6104.04
