file_path,access_count,recency_seconds,age_seconds,label
/tier_data/hot_file.txt,10,66887.11,66903.76,HOT
/tier_data/warm_file.txt,3,66882.98,66902.04,WARM
/tier_data/cold_file.txt,0,66900.78,66900.78,COLD
/tier_data/hot_file_1.txt,65,2392.26,5152.26,HOT
/tier_data/hot_file_2.txt,61,2092.26,12472.26,HOT
/tier_data/hot_file_3.txt,57,3052.26,11932.26,HOT
/tier_data/hot_file_4.txt,62,3412.26,10732.26,HOT
/tier_data/hot_file_5.txt,56,2212.26,7972.26,HOT
/tier_data/hot_file_6.txt,54,3352.26,17152.26,HOT
/tier_data/hot_file_7.txt,40,772.26,8812.26,HOT
/tier_data/hot_file_8.txt,56,1372.26,5332.26,HOT
/tier_data/hot_file_9.txt,57,2152.26,10672.26,HOT
/tier_data/hot_file_10.txt,50,3232.26,7432.26,HOT
/tier_data/hot_file_11.txt,59,3652.26,7492.26,HOT
/tier_data/hot_file_12.txt,67,1252.26,15952.26,HOT
/tier_data/hot_file_13.txt,49,1132.26,4732.26,HOT
/tier_data/hot_file_14.txt,60,2152.26,7192.26,HOT
/tier_data/hot_file_15.txt,51,1012.26,4852.26,HOT
/tier_data/hot_file_16.txt,52,1492.26,8512.26,HOT
/tier_data/hot_file_17.txt,49,1132.26,8152.26,HOT
/tier_data/hot_file_18.txt,62,1792.26,18172.26,HOT
/tier_data/hot_file_19.txt,60,3352.26,4912.26,HOT
/tier_data/hot_file_20.txt,44,1012.26,9892.26,HOT
/tier_data/hot_file_21.txt,53,1432.26,5752.26,HOT
/tier_data/hot_file_22.txt,54,3052.26,5992.26,HOT
/tier_data/hot_file_23.txt,63,2032.26,11212.26,HOT
/tier_data/hot_file_24.txt,58,1852.26,10192.26,HOT
/tier_data/hot_file_25.txt,57,952.26,16972.26,HOT
/tier_data/hot_file_26.txt,64,2452.26,7432.26,HOT
/tier_data/hot_file_27.txt,55,1252.26,5032.26,HOT
/tier_data/hot_file_28.txt,60,2692.26,9532.26,HOT
/tier_data/hot_file_29.txt,72,1972.26,18712.26,HOT
/tier_data/hot_file_30.txt,66,1312.26,7432.26,HOT
/tier_data/hot_file_31.txt,50,3172.26,10672.26,HOT
/tier_data/hot_file_32.txt,53,3532.26,10132.26,HOT
/tier_data/hot_file_33.txt,58,832.26,7552.26,HOT
/tier_data/hot_file_34.txt,42,2272.26,17512.26,HOT
/tier_data/cold_file_1000.txt,0,60857.42,11332.26,COLD
/tier_data/cold_file_601.txt,0,60857.18,4492.26,COLD
/tier_data/cold_file_602.txt,0,60857.15,11752.26,COLD
/tier_data/cold_file_603.txt,0,60857.12,12412.26,COLD
/tier_data/cold_file_604.txt,0,60856.68,6712.26,COLD
/tier_data/cold_file_605.txt,0,60856.65,5992.26,COLD
/tier_data/cold_file_606.txt,0,60856.62,8932.26,COLD
/tier_data/cold_file_607.txt,0,60856.18,12472.26,COLD
/tier_data/cold_file_608.txt,0,60856.15,6292.26,COLD
/tier_data/cold_file_609.txt,0,60856.12,12232.26,COLD
/tier_data/cold_file_610.txt,0,60856.09,15592.26,COLD
/tier_data/cold_file_611.txt,0,60855.65,16612.26,COLD
/tier_data/cold_file_612.txt,0,60855.62,8032.26,COLD
/tier_data/cold_file_613.txt,0,60855.6,12892.26,COLD
/tier_data/cold_file_614.txt,0,60855.57,14152.26,COLD
/tier_data/cold_file_615.txt,0,60855.13,9472.26,COLD
/tier_data/cold_file_616.txt,0,60854.69,11812.26,COLD
/tier_data/cold_file_617.txt,0,60854.66,8632.26,COLD
/tier_data/cold_file_618.txt,0,60854.63,6472.26,COLD
/tier_data/cold_file_619.txt,0,60854.19,7852.26,COLD
/tier_data/cold_file_620.txt,0,60854.16,5632.26,COLD
/tier_data/cold_file_621.txt,0,60854.12,8452.26,COLD
/tier_data/cold_file_622.txt,0,60854.09,18712.26,COLD
/tier_data/cold_file_623.txt,0,60854.05,11332.26,COLD
/tier_data/cold_file_624.txt,0,60854.02,8632.26,COLD
/tier_data/cold_file_625.txt,0,60853.99,15352.26,COLD
/tier_data/cold_file_626.txt,0,60853.96,14872.26,COLD
/tier_data/cold_file_627.txt,0,60853.94,12832.26,COLD
/tier_data/cold_file_628.txt,0,60853.91,6352.26,COLD
/tier_data/cold_file_629.txt,0,60853.88,16492.26,COLD
/tier_data/cold_file_630.txt,0,60853.44,13012.26,COLD
/tier_data/cold_file_631.txt,0,60853.41,16012.26,COLD
/tier_data/cold_file_632.txt,0,60852.97,5932.26,COLD
/tier_data/cold_file_633.txt,0,60852.93,12652.26,COLD
/tier_data/cold_file_634.txt,0,60852.5,5992.26,COLD
/tier_data/cold_file_635.txt,0,60852.47,11212.26,COLD
/tier_data/cold_file_636.txt,0,60852.44,7252.26,COLD
/tier_data/cold_file_637.txt,0,60852.41,10132.26,COLD
/tier_data/cold_file_638.txt,0,60852.39,7672.26,COLD
/tier_data/cold_file_639.txt,0,60852.36,16012.26,COLD
/tier_data/cold_file_640.txt,0,60852.33,9532.26,COLD
/tier_data/cold_file_641.txt,0,60852.3,6712.26,COLD
/tier_data/cold_file_642.txt,0,60852.27,15952.26,COLD
/tier_data/cold_file_643.txt,0,60852.24,8212.26,COLD
/tier_data/cold_file_644.txt,0,60852.22,16252.26,COLD
